Tempo(s);Tensao(V);Estado
0;15;Verde
0,5;15;Verde
1;15;Verde
1,51;15;Verde
2,01;15;Verde
2,51;15;Verde
3,01;15;Verde
3,52;15;Verde
4,02;15;Verde
4,52;15;Verde
5,02;15;Verde
5,52;15;Verde
6,03;15;Verde
6,53;15;Verde
7,03;15;Verde
7,53;15;Verde
8,03;15;Verde
8,54;15;Verde
9,04;15;Verde
9,54;15;Verde
10,04;15;Verde
10,55;15;Verde
11,05;14,9;Verde
11,55;14;Verde
12,05;13,61;Amarelo
12,56;13,01;Amarelo
13,06;12,6;Amarelo
13,56;11,91;Vermelho
14,06;11,2;Vermelho
14,56;10,89;Vermelho
15,07;10,5;Vermelho
15,57;10;Vermelho
16,07;9,3;Vermelho
16,57;8,01;Vermelho
17,08;7,49;Vermelho
17,58;6,7;Vermelho
18,08;5,7;Vermelho
18,58;4,79;Vermelho
19,09;3,7;Vermelho
19,59;2,4;Vermelho
20,09;1,1;Vermelho
20,59;0,6;Vermelho
21,1;0,6;Vermelho
21,6;0,6;Vermelho
22,1;0,6;Vermelho
22,6;0;Vermelho
23,1;0;Vermelho
